timestamp,mse_error,threshold,is_anomaly,lat,lon,alt
2026-04-24 10:19:14.400,3.780955,3.403265,1,47.397971,8.546164,0.382
2026-04-24 10:19:14.607,3.778634,3.403265,1,47.397971,8.546164,0.379
2026-04-24 10:19:14.732,3.777782,3.403265,1,47.397971,8.546164,0.376
2026-04-24 10:19:14.864,3.777952,3.403265,1,47.397971,8.546164,0.373
2026-04-24 10:19:15.003,3.714913,3.403265,1,47.397971,8.546164,0.370
2026-04-24 10:19:15.164,3.662997,3.403265,1,47.397971,8.546164,0.369
2026-04-24 10:19:15.290,3.602282,3.403265,1,47.397971,8.546164,0.368
2026-04-24 10:19:15.421,3.537256,3.403265,1,47.397971,8.546164,0.365
2026-04-24 10:19:15.590,3.468751,3.403265,1,47.397971,8.546164,0.362
2026-04-24 10:19:15.737,3.400557,3.403265,0,47.397971,8.546164,0.360
2026-04-24 10:19:15.874,3.331100,3.403265,0,47.397971,8.546164,0.358
2026-04-24 10:19:16.021,3.281013,3.403265,0,47.397971,8.546164,0.353
2026-04-24 10:19:16.155,3.247034,3.403265,0,47.397971,8.546164,0.351
2026-04-24 10:19:16.279,3.244720,3.403265,0,47.397971,8.546164,0.349
2026-04-24 10:19:16.414,3.290581,3.403265,0,47.397971,8.546164,0.347
2026-04-24 10:19:16.549,3.403220,3.403265,0,47.397971,8.546164,0.346
2026-04-24 10:19:16.691,3.536547,3.403265,1,47.397971,8.546164,0.346
2026-04-24 10:19:16.808,3.667916,3.403265,1,47.397971,8.546164,0.346
2026-04-24 10:19:16.933,3.760424,3.403265,1,47.397971,8.546164,0.345
2026-04-24 10:19:17.085,3.810816,3.403265,1,47.397971,8.546164,0.345
2026-04-24 10:19:17.257,3.822737,3.403265,1,47.397971,8.546164,0.344
2026-04-24 10:19:17.375,3.791185,3.403265,1,47.397971,8.546164,0.343
2026-04-24 10:19:17.516,3.728074,3.403265,1,47.397971,8.546164,0.343
2026-04-24 10:19:17.729,3.660381,3.403265,1,47.397971,8.546164,0.342
2026-04-24 10:19:17.909,3.579440,3.403265,1,47.397971,8.546164,0.341
2026-04-24 10:19:18.027,3.480482,3.403265,1,47.397971,8.546164,0.341
2026-04-24 10:19:18.206,3.377217,3.403265,0,47.397971,8.546164,0.341
2026-04-24 10:19:18.354,3.275372,3.403265,0,47.397971,8.546164,0.339
2026-04-24 10:19:18.473,3.168791,3.403265,0,47.397971,8.546164,0.337
2026-04-24 10:19:18.600,3.064606,3.403265,0,47.397971,8.546164,0.336
2026-04-24 10:19:18.730,2.951321,3.403265,0,47.397971,8.546164,0.335
2026-04-24 10:19:18.868,2.841435,3.403265,0,47.397971,8.546164,0.334
2026-04-24 10:19:18.999,2.724812,3.403265,0,47.397971,8.546164,0.329
2026-04-24 10:19:19.172,2.607383,3.403265,0,47.397971,8.546164,0.329
2026-04-24 10:19:19.334,2.488872,3.403265,0,47.397971,8.546164,0.326
2026-04-24 10:19:19.466,2.377644,3.403265,0,47.397971,8.546164,0.323
2026-04-24 10:19:19.627,2.256768,3.403265,0,47.397971,8.546164,0.318
2026-04-24 10:19:19.776,2.146356,3.403265,0,47.397971,8.546164,0.317
2026-04-24 10:19:19.926,2.022755,3.403265,0,47.397971,8.546164,0.313
2026-04-24 10:19:20.053,1.909636,3.403265,0,47.397970,8.546164,0.311
2026-04-24 10:19:20.199,1.795281,3.403265,0,47.397970,8.546164,0.311
2026-04-24 10:19:20.329,1.676744,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:20.451,1.559881,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:20.623,1.440657,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:20.763,1.323175,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:20.913,1.206113,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:21.585,1.088399,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:21.762,0.971309,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:21.899,0.853744,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:22.039,0.737424,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:22.220,0.620158,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:22.371,0.504877,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:22.740,0.391951,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:23.354,0.286082,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:23.509,0.286681,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:23.661,0.284767,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:24.692,0.285203,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:24.814,0.285073,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:24.938,0.284763,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:25.074,0.284976,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:25.215,0.285160,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:25.399,0.285126,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:25.581,0.284807,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:25.745,0.285270,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:25.880,0.285079,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:25.992,0.282821,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:26.102,0.282401,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:26.226,0.281818,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:26.353,0.282143,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:26.472,0.281973,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:26.593,0.280857,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:26.713,0.281072,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:26.826,0.282483,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:26.951,0.282000,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:27.071,0.281110,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:27.305,0.281327,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:27.458,0.281772,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:27.583,0.280959,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:27.706,0.281030,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:27.841,0.279931,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:27.981,0.279072,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:28.123,0.278385,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:28.302,0.278729,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:28.439,0.278493,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:28.563,0.278674,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:28.697,0.277827,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:28.831,0.278419,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:29.016,0.276771,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:29.171,0.277733,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:29.453,0.277630,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:29.664,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:29.819,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:29.954,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:30.109,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:30.280,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:30.396,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:30.536,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:30.645,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:30.763,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:30.888,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:31.012,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:31.151,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:31.293,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:31.442,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:31.582,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:31.728,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:31.842,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:32.021,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:32.250,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:32.391,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:32.552,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:32.686,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:32.813,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:33.020,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:33.135,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:33.250,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:33.367,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:33.541,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:33.732,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:33.909,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:34.216,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:34.435,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:34.592,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:34.761,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:34.931,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:35.120,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:35.270,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:35.429,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:35.622,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:35.779,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:35.946,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:36.144,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:36.369,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:36.494,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:36.608,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:36.857,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:36.979,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:37.231,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:37.355,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:37.473,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:37.598,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:37.726,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:37.849,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:37.966,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:38.099,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:38.208,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:38.326,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:38.445,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:38.574,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:38.702,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:38.832,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:38.943,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:39.062,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:39.194,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:39.332,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:39.461,0.277439,3.403265,0,47.397970,8.546164,0.310
2026-04-24 10:19:39.589,0.277439,3.403265,0,47.397970,8.546164,0.310
