timestamp_unix_s,timestamp_iso,scenario,run_id,lat_deg,lon_deg,abs_alt_m,rel_alt_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,battery_remaining_pct,battery_voltage_v,true_lat_deg,true_lon_deg,label,attack_elapsed_s
1776211077.1765928,2026-04-14T23:57:57.176593,normal_hover,1,,,,,,,,,,,,,,,normal,0.0
1776211077.2779198,2026-04-14T23:57:57.277920,normal_hover,1,,,,,,,,,,,,,,,normal,0.0
1776211077.3835206,2026-04-14T23:57:57.383521,normal_hover,1,,,,,,,,,,,,,,,normal,0.0
1776211077.484941,2026-04-14T23:57:57.484941,normal_hover,1,,,,,,,,,,,,,,,normal,0.0
1776211077.588046,2026-04-14T23:57:57.588046,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,,,,,,,,,47.3979713,8.5461634,normal,0.0
1776211077.703001,2026-04-14T23:57:57.703001,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,,,,,,,,,47.3979713,8.5461634,normal,0.0
1776211077.8068128,2026-04-14T23:57:57.806813,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,,,,,,,,,47.3979713,8.5461634,normal,0.0
1776211077.909768,2026-04-14T23:57:57.909768,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.0121174,2026-04-14T23:57:58.012117,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.1354024,2026-04-14T23:57:58.135402,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.248488,2026-04-14T23:57:58.248488,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.3500664,2026-04-14T23:57:58.350066,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.4523764,2026-04-14T23:57:58.452376,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.558128,2026-04-14T23:57:58.558128,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.6599836,2026-04-14T23:57:58.659984,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.7682493,2026-04-14T23:57:58.768249,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.869166,2026-04-14T23:57:58.869166,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211078.9742055,2026-04-14T23:57:58.974205,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.0758371,2026-04-14T23:57:59.075837,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.178444,2026-04-14T23:57:59.178444,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.2841375,2026-04-14T23:57:59.284137,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.3870423,2026-04-14T23:57:59.387042,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.4913816,2026-04-14T23:57:59.491382,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.593774,2026-04-14T23:57:59.593774,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.7063909,2026-04-14T23:57:59.706391,normal_hover,1,47.3979713,8.5461634,0.1940000057220459,-0.0050000003539025,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.810248,2026-04-14T23:57:59.810248,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0398764684796333,-0.116441324353218,-9.750585556030272,-0.0013979704817757,-8.561458525946364e-05,0.0004354975244496,,,47.3979713,8.5461634,normal,0.0
1776211079.9192076,2026-04-14T23:57:59.919208,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.0227616,2026-04-14T23:58:00.022762,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.131842,2026-04-14T23:58:00.131842,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.2366683,2026-04-14T23:58:00.236668,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.3419466,2026-04-14T23:58:00.341947,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.443144,2026-04-14T23:58:00.443144,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.5459435,2026-04-14T23:58:00.545943,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.6516104,2026-04-14T23:58:00.651610,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.7541862,2026-04-14T23:58:00.754186,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.8652298,2026-04-14T23:58:00.865230,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211080.9677436,2026-04-14T23:58:00.967744,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.076907,2026-04-14T23:58:01.076907,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.1847322,2026-04-14T23:58:01.184732,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.2883575,2026-04-14T23:58:01.288358,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.3895166,2026-04-14T23:58:01.389517,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.493219,2026-04-14T23:58:01.493219,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.5967157,2026-04-14T23:58:01.596716,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.708763,2026-04-14T23:58:01.708763,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.814242,2026-04-14T23:58:01.814242,normal_hover,1,47.3979713,8.5461634,0.1900000125169754,-0.0100000007078051,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461634,normal,0.0
1776211081.9184334,2026-04-14T23:58:01.918433,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0403798967599868,-0.1185372620820999,-9.74410343170166,6.140526966191828e-05,-0.0001874017325462,-0.0005856055649928,,,47.3979713,8.5461635,normal,0.0
1776211082.0270226,2026-04-14T23:58:02.027023,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.1315565,2026-04-14T23:58:02.131557,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.23936,2026-04-14T23:58:02.239360,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.354864,2026-04-14T23:58:02.354864,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.4562736,2026-04-14T23:58:02.456274,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.5640457,2026-04-14T23:58:02.564046,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.6657248,2026-04-14T23:58:02.665725,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.769233,2026-04-14T23:58:02.769233,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.870319,2026-04-14T23:58:02.870319,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211082.971958,2026-04-14T23:58:02.971958,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211083.0739975,2026-04-14T23:58:03.073998,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211083.1763415,2026-04-14T23:58:03.176342,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
1776211083.2780178,2026-04-14T23:58:03.278018,normal_hover,1,47.3979713,8.5461635,0.184000015258789,-0.0150000005960464,-0.0384374111890792,-0.1140832901000976,-9.744519233703612,0.0001253708032891,-0.0004428099200595,0.0005144764436408,,,47.3979713,8.5461635,normal,0.0
