timestamp_unix_s,timestamp_iso,scenario,run_id,label,attack_elapsed_s,true_lat_deg,true_lon_deg,lat_deg,lon_deg,abs_alt_m,rel_alt_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,battery_remaining_pct,battery_voltage_v
1772706612.220102,2026-03-05T10:30:12.220102,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706612.5385303,2026-03-05T10:30:12.538530,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706612.6398754,2026-03-05T10:30:12.639875,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706612.7426589,2026-03-05T10:30:12.742659,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706612.8470843,2026-03-05T10:30:12.847084,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706612.9611058,2026-03-05T10:30:12.961106,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706613.064258,2026-03-05T10:30:13.064258,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706613.246159,2026-03-05T10:30:13.246159,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706613.3698494,2026-03-05T10:30:13.369849,spoof_drift,01,normal,0.0,,,,,,,,,,,,,,
1772706613.515166,2026-03-05T10:30:13.515166,spoof_drift,01,normal,0.0,47.3979709,8.5461645,47.3979709,8.5461645,0.3070000112056732,0.09700000286102295,0.004872685298323631,-0.001070450758561492,-9.684200286865234,1.5694853573222645e-05,-3.87605105061084e-05,-0.0003273594193160534,,
1772706613.6161935,2026-03-05T10:30:13.616194,spoof_drift,01,normal,0.0,47.3979709,8.5461645,47.3979709,8.5461645,0.3070000112056732,0.09700000286102295,0.004872685298323631,-0.001070450758561492,-9.684200286865234,1.5694853573222645e-05,-3.87605105061084e-05,-0.0003273594193160534,,
1772706613.7404108,2026-03-05T10:30:13.740411,spoof_drift,01,normal,0.0,47.3979709,8.5461645,47.3979709,8.5461645,0.3070000112056732,0.09700000286102295,0.004872685298323631,-0.001070450758561492,-9.684200286865234,1.5694853573222645e-05,-3.87605105061084e-05,-0.0003273594193160534,,
1772706613.877023,2026-03-05T10:30:13.877023,spoof_drift,01,normal,0.0,47.3979709,8.5461645,47.3979709,8.5461645,0.3070000112056732,0.09700000286102295,0.004872685298323631,-0.001070450758561492,-9.684200286865234,1.5694853573222645e-05,-3.87605105061084e-05,-0.0003273594193160534,,
1772706613.9799838,2026-03-05T10:30:13.979984,spoof_drift,01,normal,0.0,47.3979709,8.5461645,47.3979709,8.5461645,0.3070000112056732,0.09700000286102295,0.004872685298323631,-0.001070450758561492,-9.684200286865234,1.5694853573222645e-05,-3.87605105061084e-05,-0.0003273594193160534,,
1772706614.0856295,2026-03-05T10:30:14.085629,spoof_drift,01,normal,0.0,47.3979709,8.5461645,47.3979709,8.5461645,0.3070000112056732,0.09700000286102295,0.004872685298323631,-0.001070450758561492,-9.684200286865234,1.5694853573222645e-05,-3.87605105061084e-05,-0.0003273594193160534,,
1772706614.1893334,2026-03-05T10:30:14.189333,spoof_drift,01,normal,0.0,47.3979709,8.5461645,47.3979709,8.5461645,0.3070000112056732,0.09700000286102295,0.004872685298323631,-0.001070450758561492,-9.684200286865234,1.5694853573222645e-05,-3.87605105061084e-05,-0.0003273594193160534,,
