timestamp_unix_s,timestamp_iso,scenario,run_id,lat_deg,lon_deg,abs_alt_m,rel_alt_m,vel_n_m_s,vel_e_m_s,vel_d_m_s,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,battery_remaining_pct,battery_voltage_v,true_lat_deg,true_lon_deg,label,attack_elapsed_s
1776211630.5230365,2026-04-15T00:07:10.523036,normal_square,2,47.3979736,8.5461622,0.2910000085830688,0.0710000023245811,0.0,0.0,-0.0700000002980232,-0.0340278521180152,-0.1108711957931518,-9.770881652832031,0.0003632485168054,0.0008541673887521,-5.294585207593627e-05,,,47.3979736,8.5461622,normal,0.0
1776211630.6298606,2026-04-15T00:07:10.629861,normal_square,2,47.3979736,8.5461622,0.2910000085830688,0.0710000023245811,0.0,0.0,-0.0700000002980232,-0.0340278521180152,-0.1108711957931518,-9.770881652832031,0.0003632485168054,0.0008541673887521,-5.294585207593627e-05,,,47.3979736,8.5461622,normal,0.0
1776211630.7306285,2026-04-15T00:07:10.730628,normal_square,2,47.3979736,8.5461622,0.2910000085830688,0.0710000023245811,0.0,0.0,-0.0700000002980232,-0.0379292108118534,-0.1142932325601577,-9.768038749694824,-0.000173052176251,-0.0001373760751448,-0.0002122819423675,,,47.3979736,8.5461622,normal,0.0
1776211630.8330724,2026-04-15T00:07:10.833072,normal_square,2,47.3979736,8.5461622,0.2910000085830688,0.0710000023245811,0.0,0.0,-0.0700000002980232,-0.0379292108118534,-0.1142932325601577,-9.768038749694824,-0.000173052176251,-0.0001373760751448,-0.0002122819423675,,,47.3979736,8.5461622,normal,0.0
1776211630.9365273,2026-04-15T00:07:10.936527,normal_square,2,47.3979736,8.5461622,0.2920000255107879,0.072000004351139,0.0,0.0,-0.0700000002980232,-0.0349206924438476,-0.1195906922221183,-9.766830444335938,-0.0011747397948056,-2.732420034590177e-05,0.0004385894862934,,,47.3979736,8.5461622,normal,0.0
1776211631.0388918,2026-04-15T00:07:11.038892,normal_square,2,47.3979736,8.5461622,0.2920000255107879,0.072000004351139,0.0,0.0,-0.0700000002980232,-0.0349206924438476,-0.1195906922221183,-9.766830444335938,-0.0011747397948056,-2.732420034590177e-05,0.0004385894862934,,,47.3979736,8.5461622,normal,0.0
1776211631.1430082,2026-04-15T00:07:11.143008,normal_square,2,47.3979736,8.5461622,0.2920000255107879,0.072000004351139,0.0,0.0,-0.0700000002980232,-0.0349206924438476,-0.1195906922221183,-9.766830444335938,-0.0011747397948056,-2.732420034590177e-05,0.0004385894862934,,,47.3979736,8.5461622,normal,0.0
1776211631.2477837,2026-04-15T00:07:11.247784,normal_square,2,47.3979736,8.5461622,0.2930000126361847,0.0730000063776969,0.0,0.0,-0.0700000002980232,-0.036519318819046,-0.1173097193241119,-9.774506568908691,-1.868107574409805e-05,-0.0006033186218701,0.0002462321135681,,,47.3979736,8.5461622,normal,0.0
1776211631.34897,2026-04-15T00:07:11.348970,normal_square,2,47.3979736,8.5461622,0.2939999997615814,0.0730000063776969,0.0,0.0,-0.0700000002980232,-0.0442435443401336,-0.1150563582777977,-9.776257514953612,0.0004599393578246,-0.0001698188425507,0.0003261451493017,,,47.3979736,8.5461622,normal,0.0
1776211631.4513834,2026-04-15T00:07:11.451383,normal_square,2,47.3979736,8.5461622,0.2939999997615814,0.0730000063776969,0.0,0.0,-0.0700000002980232,-0.0442435443401336,-0.1150563582777977,-9.776257514953612,0.0004599393578246,-0.0001698188425507,0.0003261451493017,,,47.3979736,8.5461622,normal,0.0
1776211631.556415,2026-04-15T00:07:11.556415,normal_square,2,47.3979736,8.5461622,0.2939999997615814,0.0740000009536743,0.0,0.0,-0.0700000002980232,-0.0351244360208511,-0.116789124906063,-9.766278266906738,-0.0004625256988219,-0.0003829839115496,0.0004495108441915,,,47.3979736,8.5461622,normal,0.0
1776211631.6594572,2026-04-15T00:07:11.659457,normal_square,2,47.3979736,8.5461622,0.2950000166893005,0.0750000029802322,0.0,0.0,-0.0700000002980232,-0.0400137677788734,-0.1069820895791053,-9.774259567260742,-0.0007722311420366,0.0004318321880418,-0.0001950308214873,,,47.3979736,8.5461622,normal,0.0
1776211631.763677,2026-04-15T00:07:11.763677,normal_square,2,47.3979736,8.5461622,0.2950000166893005,0.0750000029802322,0.0,0.0,-0.0700000002980232,-0.0296785049140453,-0.1194259151816368,-9.775136947631836,-0.0005314850714057,-0.000468532933155,-1.594375862623565e-05,,,47.3979736,8.5461622,normal,0.0
1776211631.8683429,2026-04-15T00:07:11.868343,normal_square,2,47.3979736,8.5461622,0.2950000166893005,0.0750000029802322,0.0,0.0,-0.0700000002980232,-0.0296785049140453,-0.1194259151816368,-9.775136947631836,-0.0005314850714057,-0.000468532933155,-1.594375862623565e-05,,,47.3979736,8.5461622,normal,0.0
1776211631.9783146,2026-04-15T00:07:11.978315,normal_square,2,47.3979736,8.5461622,0.2950000166893005,0.0750000029802322,0.0,0.0,-0.0700000002980232,-0.0347104631364345,-0.1108907759189605,-9.764251708984377,-0.0002912908967118,0.0002013011835515,-0.0004547294229269,,,47.3979736,8.5461622,normal,0.0
1776211632.0799367,2026-04-15T00:07:12.079937,normal_square,2,47.3979736,8.5461622,0.2960000038146972,0.0760000050067901,0.0,0.0,-0.0700000002980232,-0.0347104631364345,-0.1108907759189605,-9.764251708984377,-0.0002912908967118,0.0002013011835515,-0.0004547294229269,,,47.3979736,8.5461622,normal,0.0
1776211632.1827197,2026-04-15T00:07:12.182719,normal_square,2,47.3979736,8.5461622,0.2960000038146972,0.0760000050067901,0.0,0.0,-0.0700000002980232,-0.0347104631364345,-0.1108907759189605,-9.764251708984377,-0.0002912908967118,0.0002013011835515,-0.0004547294229269,,,47.3979736,8.5461622,normal,0.0
1776211632.2862136,2026-04-15T00:07:12.286214,normal_square,2,47.3979736,8.5461622,0.2990000247955322,0.0780000016093254,0.0,0.0,-0.0700000002980232,-0.0442736819386482,-0.1093938276171684,-9.77153778076172,0.0015663069207221,0.0006716777570545,0.0008788122213445,,,47.3979736,8.5461622,normal,0.0
1776211632.3890092,2026-04-15T00:07:12.389009,normal_square,2,47.3979736,8.5461622,0.2990000247955322,0.0790000036358833,0.0,0.0,-0.0700000002980232,-0.0399133637547493,-0.1128596141934394,-9.775049209594728,-5.606854756479152e-05,0.0010104497196152,-0.0004322642635088,,,47.3979736,8.5461622,normal,0.0
1776211632.4969826,2026-04-15T00:07:12.496983,normal_square,2,47.3979736,8.5461622,0.3000000119209289,0.0790000036358833,0.0,0.0,-0.0700000002980232,-0.0338103733956813,-0.1213580220937728,-9.774534225463867,0.0001390999532304,0.0020707147195935,0.0001489118585595,,,47.3979736,8.5461622,normal,0.0
1776211632.6005545,2026-04-15T00:07:12.600554,normal_square,2,47.3979736,8.5461622,0.3000000119209289,0.0790000036358833,0.0,0.0,-0.0700000002980232,-0.0351899154484272,-0.1163216978311538,-9.770484924316406,-0.0006442602025344,4.501865623751655e-05,-0.0003519637393765,,,47.3979736,8.5461622,normal,0.0
1776211632.702617,2026-04-15T00:07:12.702617,normal_square,2,47.3979735,8.5461622,0.3000000119209289,0.0800000056624412,0.0,0.0,-0.0700000002980232,-0.0351899154484272,-0.1163216978311538,-9.770484924316406,-0.0006442602025344,4.501865623751655e-05,-0.0003519637393765,,,47.3979735,8.5461622,normal,0.0
1776211632.810871,2026-04-15T00:07:12.810871,normal_square,2,47.3979735,8.5461622,0.3000000119209289,0.0800000056624412,0.0,0.0,-0.0700000002980232,-0.0351899154484272,-0.1163216978311538,-9.770484924316406,-0.0006442602025344,4.501865623751655e-05,-0.0003519637393765,,,47.3979735,8.5461622,normal,0.0
1776211632.9205842,2026-04-15T00:07:12.920584,normal_square,2,47.3979735,8.5461622,0.301000028848648,0.0810000002384185,0.0,0.0,-0.0700000002980232,-0.0466924458742141,-0.117228016257286,-9.776281356811523,-0.0003212841111235,-0.0006045046611689,0.0004952347371727,,,47.3979735,8.5461622,normal,0.0
1776211633.0260406,2026-04-15T00:07:13.026041,normal_square,2,47.3979735,8.5461622,0.301000028848648,0.0810000002384185,0.0,0.0,-0.0700000002980232,-0.0248004030436277,-0.1217735260725021,-9.77121925354004,-0.0009711776510812,-0.0005704342620447,-0.0002049457689281,,,47.3979735,8.5461622,normal,0.0
