timestamp_unix_s,timestamp_iso,lat_deg,lon_deg,abs_alt_m,rel_alt_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,battery_remaining_pct,battery_voltage_v
1772695942.6761835,2026-03-05T07:32:22.676183,,,,,,,,,,,,
1772695942.7781894,2026-03-05T07:32:22.778189,,,,,-0.006635508965700865,0.003520403988659382,-9.736567497253418,0.0002771921281237155,-0.0009584195795468986,-0.0015642844373360276,,
1772695942.8818057,2026-03-05T07:32:22.881806,,,,,-0.006635508965700865,0.003520403988659382,-9.736567497253418,0.0002771921281237155,-0.0009584195795468986,-0.0015642844373360276,,
1772695942.988788,2026-03-05T07:32:22.988788,,,,,-0.006635508965700865,0.003520403988659382,-9.736567497253418,0.0002771921281237155,-0.0009584195795468986,-0.0015642844373360276,,
1772695943.0939739,2026-03-05T07:32:23.093974,47.397971,8.5461635,0.3160000145435333,-494.6830139160156,0.0015245676040649414,-0.0013591385213658214,-9.730271339416504,-1.3737876543018501e-05,0.00027370816678740084,0.00012665438407566398,,
1772695943.1961749,2026-03-05T07:32:23.196175,47.397971,8.5461635,0.31800001859664917,-494.6810302734375,0.0015245676040649414,-0.0013591385213658214,-9.730271339416504,-1.3737876543018501e-05,0.00027370816678740084,0.00012665438407566398,,
1772695943.2992861,2026-03-05T07:32:23.299286,47.397971,8.5461635,0.3190000057220459,-494.6800231933594,-0.01053609885275364,0.007050651591271162,-9.732248306274414,-0.0004639578692149371,-7.060330244712532e-05,-0.0004703751765191555,,
1772695943.4041784,2026-03-05T07:32:23.404178,47.397971,8.5461635,0.32200002670288086,-494.6770324707031,-0.003992007113993168,0.005618710536509752,-9.733589172363281,-0.0003189913695678115,0.00015658132906537503,-0.0008044053101912141,,
1772695943.5064566,2026-03-05T07:32:23.506457,47.397971,8.5461635,0.32200002670288086,-494.6770324707031,0.007804470602422953,-0.003320808056741953,-9.736717224121094,-0.00024406646843999624,-0.0002596931590232998,-0.0004226603778079152,,
1772695943.612712,2026-03-05T07:32:23.612712,47.397971,8.5461635,0.32200002670288086,-494.6770324707031,0.007804470602422953,-0.003320808056741953,-9.736717224121094,-0.00024406646843999624,-0.0002596931590232998,-0.0004226603778079152,,
1772695943.7141633,2026-03-05T07:32:23.714163,47.397971,8.5461635,0.32200002670288086,-494.6770324707031,0.007804470602422953,-0.003320808056741953,-9.736717224121094,-0.00024406646843999624,-0.0002596931590232998,-0.0004226603778079152,,
1772695943.8162487,2026-03-05T07:32:23.816249,47.397971,8.5461635,0.3270000219345093,-494.6720275878906,-0.0014813663437962532,-0.002955287229269743,-9.729762077331543,-0.0005152633530087769,-0.00010811208630912006,0.000157700662384741,,
1772695943.9289203,2026-03-05T07:32:23.928920,47.397971,8.5461635,0.3270000219345093,-494.6720275878906,-0.0014813663437962532,-0.002955287229269743,-9.729762077331543,-0.0005152633530087769,-0.00010811208630912006,0.000157700662384741,,
1772695944.0322552,2026-03-05T07:32:24.032255,47.397971,8.5461635,0.33000001311302185,-494.6690368652344,-0.006047666072845459,0.0021688579581677914,-9.734819412231445,-0.00039871997432783246,-0.0001452854194212705,-0.0001551947061670944,,
1772695944.1369617,2026-03-05T07:32:24.136962,47.397971,8.5461635,0.33000001311302185,-494.6690368652344,-0.006047666072845459,0.0021688579581677914,-9.734819412231445,-0.00039871997432783246,-0.0001452854194212705,-0.0001551947061670944,,
1772695944.2392495,2026-03-05T07:32:24.239249,47.397971,8.5461635,0.3330000042915344,-494.666015625,0.001995304599404335,-0.005524827167391777,-9.73605728149414,0.0018241448560729623,0.0009792493656277657,-0.0004644447471946478,,
1772695944.341511,2026-03-05T07:32:24.341511,47.397971,8.5461635,0.3330000042915344,-494.666015625,0.001995304599404335,-0.005524827167391777,-9.73605728149414,0.0018241448560729623,0.0009792493656277657,-0.0004644447471946478,,
1772695944.443808,2026-03-05T07:32:24.443808,47.397971,8.5461635,0.33500000834465027,-494.6640319824219,-0.015993287786841393,-0.005178759805858135,-9.732425689697266,0.0005904258578084409,0.00012675226025748998,-7.832156552467495e-05,,
1772695944.5468583,2026-03-05T07:32:24.546858,47.397971,8.5461635,0.33500000834465027,-494.6640319824219,-0.015993287786841393,-0.005178759805858135,-9.732425689697266,0.0005904258578084409,0.00012675226025748998,-7.832156552467495e-05,,
1772695944.6503644,2026-03-05T07:32:24.650364,47.397971,8.5461635,0.33800002932548523,-494.6620178222656,-0.015993287786841393,-0.005178759805858135,-9.732425689697266,0.0005904258578084409,0.00012675226025748998,-7.832156552467495e-05,,
1772695944.7520397,2026-03-05T07:32:24.752040,47.397971,8.5461635,0.33800002932548523,-494.6620178222656,-0.00933900848031044,-0.009615736082196236,-9.726175308227539,-4.559708395390771e-05,-0.0007323500467464328,0.0013398322043940425,,
1772695944.8539028,2026-03-05T07:32:24.853903,47.397971,8.5461635,0.33900001645088196,-494.6600341796875,-0.0027948019560426474,0.0029414030723273754,-9.741153717041016,-0.00015731077292002738,-0.0005932393833063543,-0.00029502762481570244,,
1772695944.9564214,2026-03-05T07:32:24.956421,47.397971,8.5461635,0.33900001645088196,-494.6600341796875,-0.0027948019560426474,0.0029414030723273754,-9.741153717041016,-0.00015731077292002738,-0.0005932393833063543,-0.00029502762481570244,,
1772695945.091287,2026-03-05T07:32:25.091287,47.397971,8.5461635,0.34200000762939453,-494.6570129394531,-0.011690203100442886,-0.002136309165507555,-9.740203857421875,-0.0003004401223734021,-0.00029759726021438837,-0.000611485680565238,,
1772695945.1955497,2026-03-05T07:32:25.195550,47.397971,8.5461635,0.3440000116825104,-494.655029296875,-0.002656341064721346,0.0028114458546042442,-9.731456756591797,0.00029240563162602484,0.00022177679056767374,0.00041877603507600725,,
