timestamp_unix_s,timestamp_iso,scenario,run_id,lat_deg,lon_deg,abs_alt_m,rel_alt_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,battery_remaining_pct,battery_voltage_v
1772702119.4674,2026-03-05T09:15:19.467400,altitude_step,02,,,,,,,,,,,,
1772702119.5739858,2026-03-05T09:15:19.573986,altitude_step,02,47.3979711,8.5461647,0.14800000190734863,-0.06100000441074371,,,,,,,,
1772702119.6970918,2026-03-05T09:15:19.697092,altitude_step,02,47.3979711,8.5461647,0.14800000190734863,-0.06100000441074371,,,,,,,,
1772702119.8051367,2026-03-05T09:15:19.805137,altitude_step,02,47.3979711,8.5461647,0.14800000190734863,-0.06100000441074371,,,,,,,,
1772702119.9168987,2026-03-05T09:15:19.916899,altitude_step,02,47.3979711,8.5461647,0.1469999998807907,-0.06300000101327896,,,,,,,,
1772702120.030934,2026-03-05T09:15:20.030934,altitude_step,02,47.3979711,8.5461647,0.1469999998807907,-0.06300000101327896,0.001320122741162777,0.007331124506890774,-9.699801445007324,-0.0009003059240058064,-0.0010948610724881291,-9.224175300914794e-05,,
1772702120.133497,2026-03-05T09:15:20.133497,altitude_step,02,47.3979711,8.5461647,0.14400000870227814,-0.0650000050663948,-0.0016634154599159956,0.0009491881937719882,-9.692596435546875,0.001115736784413457,-0.001229020650498569,0.0002658614539541304,,
1772702120.2340982,2026-03-05T09:15:20.234098,altitude_step,02,47.3979711,8.5461647,0.14400000870227814,-0.0650000050663948,-0.0016634154599159956,0.0009491881937719882,-9.692596435546875,0.001115736784413457,-0.001229020650498569,0.0002658614539541304,,
1772702120.3358614,2026-03-05T09:15:20.335861,altitude_step,02,47.3979711,8.5461647,0.14300000667572021,-0.06700000166893005,-0.0016634154599159956,0.0009491881937719882,-9.692596435546875,0.001115736784413457,-0.001229020650498569,0.0002658614539541304,,
1772702120.4400814,2026-03-05T09:15:20.440081,altitude_step,02,47.3979711,8.5461647,0.14300000667572021,-0.06700000166893005,0.0015249282587319613,0.003997306805104017,-9.685483932495117,0.00010840023605851457,-3.439887223066762e-06,-0.00017302733613178134,,
1772702120.5460327,2026-03-05T09:15:20.546033,altitude_step,02,47.3979711,8.5461647,0.14300000667572021,-0.06700000166893005,0.0015249282587319613,0.003997306805104017,-9.685483932495117,0.00010840023605851457,-3.439887223066762e-06,-0.00017302733613178134,,
1772702120.6479542,2026-03-05T09:15:20.647954,altitude_step,02,47.3979711,8.5461647,0.14100000262260437,-0.06800000369548798,0.0015249282587319613,0.003997306805104017,-9.685483932495117,0.00010840023605851457,-3.439887223066762e-06,-0.00017302733613178134,,
1772702120.7540426,2026-03-05T09:15:20.754043,altitude_step,02,47.3979711,8.5461647,0.14100000262260437,-0.06800000369548798,-0.007661691401153803,-0.004299989435821772,-9.691006660461426,0.000817453081253916,-0.00020938160014338791,-0.00023007596610113978,,
1772702120.85602,2026-03-05T09:15:20.856020,altitude_step,02,47.3979711,8.5461647,0.14100000262260437,-0.06800000369548798,-0.007661691401153803,-0.004299989435821772,-9.691006660461426,0.000817453081253916,-0.00020938160014338791,-0.00023007596610113978,,
1772702120.9584074,2026-03-05T09:15:20.958407,altitude_step,02,47.3979711,8.5461647,0.14000000059604645,-0.07000000029802322,0.005196411162614822,-0.0024764840491116047,-9.70938491821289,-0.0006191798602230847,0.0009542611078359187,-0.00041967188008129597,,
