timestamp_unix_s,timestamp_iso,scenario,run_id,lat_deg,lon_deg,abs_alt_m,rel_alt_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,battery_remaining_pct,battery_voltage_v
1776226598.0346959,2026-04-15T04:16:38.034696,normal_hover,01,,,,,,,,,,,,
1776226598.1367948,2026-04-15T04:16:38.136795,normal_hover,01,,,,,,,,,,,,
1776226598.2390792,2026-04-15T04:16:38.239079,normal_hover,01,,,,,,,,,,,,
1776226598.3443823,2026-04-15T04:16:38.344382,normal_hover,01,,,,,,,,,,,,
1776226598.4477248,2026-04-15T04:16:38.447725,normal_hover,01,,,,,,,,,,,,
1776226598.549575,2026-04-15T04:16:38.549575,normal_hover,01,,,,,,,,,,,,
1776226598.6528873,2026-04-15T04:16:38.652887,normal_hover,01,,,,,,,,,,,,
1776226598.7541862,2026-04-15T04:16:38.754186,normal_hover,01,,,,,,,,,,,,
1776226598.856085,2026-04-15T04:16:38.856085,normal_hover,01,,,,,,,,,,,,
1776226598.9570923,2026-04-15T04:16:38.957092,normal_hover,01,,,,,,,,,,,,
1776226599.0672073,2026-04-15T04:16:39.067207,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226599.1696978,2026-04-15T04:16:39.169698,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226599.2714298,2026-04-15T04:16:39.271430,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226599.3734539,2026-04-15T04:16:39.373454,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226599.4782825,2026-04-15T04:16:39.478282,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226599.5909724,2026-04-15T04:16:39.590972,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226599.6933656,2026-04-15T04:16:39.693366,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226599.7968946,2026-04-15T04:16:39.796895,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226599.8999276,2026-04-15T04:16:39.899928,normal_hover,01,47.3979709,8.5461635,0.33400002121925354,-0.05100000277161598,-0.05688856542110443,-0.009177342057228088,-9.745326042175293,0.00024687949917279184,-0.000541895569767803,-0.00042927375761792064,,
1776226600.0019,2026-04-15T04:16:40.001900,normal_hover,01,47.3979709,8.5461636,0.32500001788139343,-0.06000000238418579,-0.06707781553268433,-0.012360936030745506,-9.744054794311523,0.0002596854174043983,-0.00022744481975678355,2.509703699615784e-05,,
1776226600.1046102,2026-04-15T04:16:40.104610,normal_hover,01,47.3979709,8.5461636,0.32500001788139343,-0.06000000238418579,-0.06707781553268433,-0.012360936030745506,-9.744054794311523,0.0002596854174043983,-0.00022744481975678355,2.509703699615784e-05,,
1776226600.209941,2026-04-15T04:16:40.209941,normal_hover,01,47.3979709,8.5461636,0.32500001788139343,-0.06000000238418579,-0.06707781553268433,-0.012360936030745506,-9.744054794311523,0.0002596854174043983,-0.00022744481975678355,2.509703699615784e-05,,
