timestamp_unix_s,timestamp_iso,scenario,run_id,lat_deg,lon_deg,abs_alt_m,rel_alt_m,vel_n_m_s,vel_e_m_s,vel_d_m_s,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,battery_remaining_pct,battery_voltage_v
1776222402.4903548,2026-04-15T03:06:42.490355,normal_triangle,02,47.397971399999996,8.5461634,0.37400001287460327,-0.012000000104308128,0.0,-0.009999999776482582,-0.009999999776482582,-0.06728417426347733,-0.007064011413604021,-9.77824592590332,0.0010513386223465204,0.0014556717360392213,0.0003441664157435298,,
1776222402.603956,2026-04-15T03:06:42.603956,normal_triangle,02,47.397971399999996,8.5461634,0.37300002574920654,-0.013000000268220901,0.0,-0.009999999776482582,-0.009999999776482582,-0.06658110022544861,-0.001074319239705801,-9.774397850036621,0.0002613489341456443,0.0001871821004897356,0.0003091361722908914,,
1776222402.7075968,2026-04-15T03:06:42.707597,normal_triangle,02,47.397971399999996,8.5461634,0.37300002574920654,-0.013000000268220901,0.0,-0.009999999776482582,-0.009999999776482582,-0.06658110022544861,-0.001074319239705801,-9.774397850036621,0.0002613489341456443,0.0001871821004897356,0.0003091361722908914,,
1776222402.8130543,2026-04-15T03:06:42.813054,normal_triangle,02,47.397971399999996,8.5461634,0.3720000088214874,-0.014000000432133675,0.0,-0.009999999776482582,-0.009999999776482582,-0.06542746722698212,-0.00297792861238122,-9.76960563659668,-6.0750684497179464e-05,-0.0007632866036146879,-0.0007945562829263508,,
1776222402.9156349,2026-04-15T03:06:42.915635,normal_triangle,02,47.397971399999996,8.5461634,0.3710000216960907,-0.014000000432133675,0.0,-0.009999999776482582,-0.009999999776482582,-0.06390504539012909,-0.002806606935337186,-9.776215553283691,0.0005038948147557676,0.0006544104544445872,8.717708988115191e-05,,
1776222403.0190535,2026-04-15T03:06:43.019053,normal_triangle,02,47.397971399999996,8.5461634,0.3710000216960907,-0.014000000432133675,0.0,-0.009999999776482582,-0.009999999776482582,-0.06082983687520027,-0.011888558976352215,-9.765528678894043,-0.0004913354641757905,-0.0009306806023232639,-0.0001359926536679268,,
1776222403.1317933,2026-04-15T03:06:43.131793,normal_triangle,02,47.397971399999996,8.5461634,0.3700000047683716,-0.015000000596046448,0.0,-0.009999999776482582,-0.009999999776482582,-0.06082983687520027,-0.011888558976352215,-9.765528678894043,-0.0004913354641757905,-0.0009306806023232639,-0.0001359926536679268,,
1776222403.2349014,2026-04-15T03:06:43.234901,normal_triangle,02,47.397971399999996,8.5461634,0.36900001764297485,-0.01600000075995922,0.0,-0.009999999776482582,-0.009999999776482582,-0.06487575173377991,-0.006388235371559858,-9.767134666442871,0.0008445532293990254,-9.633653826313093e-05,-0.0003003645106218755,,
1776222403.3526936,2026-04-15T03:06:43.352694,normal_triangle,02,47.397971399999996,8.5461634,0.36900001764297485,-0.01600000075995922,0.0,-0.009999999776482582,-0.009999999776482582,-0.07496078312397003,-0.011415688320994377,-9.773900985717773,-0.0016163676045835018,0.0007275581010617316,0.0003805661399383098,,
1776222403.4552207,2026-04-15T03:06:43.455221,normal_triangle,02,47.397971399999996,8.5461634,0.3680000305175781,-0.017000000923871994,0.0,-0.009999999776482582,-0.009999999776482582,-0.06797168403863907,-0.004595645237714052,-9.77083683013916,0.00015652773436158895,-0.00031144300010055304,-0.0007080646464601159,,
1776222403.5586197,2026-04-15T03:06:43.558620,normal_triangle,02,47.397971399999996,8.5461634,0.3660000264644623,-0.01900000125169754,0.0,-0.009999999776482582,-0.019999999552965164,-0.07375549525022507,-0.007351389620453119,-9.77370548248291,0.0013302529696375132,0.0007349732331931591,-0.0011307905660942197,,
1776222403.670215,2026-04-15T03:06:43.670215,normal_triangle,02,47.397971399999996,8.5461634,0.3660000264644623,-0.01900000125169754,0.0,-0.009999999776482582,-0.019999999552965164,-0.07375549525022507,-0.007351389620453119,-9.77370548248291,0.0013302529696375132,0.0007349732331931591,-0.0011307905660942197,,
1776222403.7711303,2026-04-15T03:06:43.771130,normal_triangle,02,47.397971299999995,8.5461634,0.36400002241134644,-0.021000001579523087,0.0,-0.009999999776482582,-0.029999999329447746,-0.07007161527872086,-0.004937444813549519,-9.777606010437012,0.00014114301302470267,0.00015614533913321793,-0.00010071654105558991,,
1776222403.8737364,2026-04-15T03:06:43.873736,normal_triangle,02,47.397971299999995,8.5461634,0.36400002241134644,-0.021000001579523087,0.0,-0.009999999776482582,-0.029999999329447746,-0.07318013906478882,-0.016636015847325325,-9.773392677307129,-0.00036252677091397345,-0.0006138106109574437,-0.00011307591921649873,,
1776222403.9787102,2026-04-15T03:06:43.978710,normal_triangle,02,47.397971299999995,8.5461634,0.36400002241134644,-0.021000001579523087,0.0,-0.009999999776482582,-0.029999999329447746,-0.07318013906478882,-0.016636015847325325,-9.773392677307129,-0.00036252677091397345,-0.0006138106109574437,-0.00011307591921649873,,
1776222404.0947986,2026-04-15T03:06:44.094799,normal_triangle,02,47.397971299999995,8.5461634,0.36400002241134644,-0.021000001579523087,0.0,-0.009999999776482582,-0.029999999329447746,-0.07318013906478882,-0.016636015847325325,-9.773392677307129,-0.00036252677091397345,-0.0006138106109574437,-0.00011307591921649873,,
1776222404.2048995,2026-04-15T03:06:44.204900,normal_triangle,02,47.397971299999995,8.5461634,0.36400002241134644,-0.02200000174343586,0.0,-0.009999999776482582,-0.029999999329447746,-0.06413167715072632,-0.008129303343594074,-9.768572807312012,-0.00040139330667443573,0.0015890749637037516,-0.0007462881039828062,,
1776222404.3109283,2026-04-15T03:06:44.310928,normal_triangle,02,47.397971299999995,8.5461634,0.36400002241134644,-0.02200000174343586,0.0,-0.009999999776482582,-0.029999999329447746,-0.06413167715072632,-0.008129303343594074,-9.768572807312012,-0.00040139330667443573,0.0015890749637037516,-0.0007462881039828062,,
1776222404.416854,2026-04-15T03:06:44.416854,normal_triangle,02,47.397971299999995,8.5461634,0.36400002241134644,-0.02200000174343586,0.0,-0.009999999776482582,-0.029999999329447746,-0.06413167715072632,-0.008129303343594074,-9.768572807312012,-0.00040139330667443573,0.0015890749637037516,-0.0007462881039828062,,
1776222404.5189471,2026-04-15T03:06:44.518947,normal_triangle,02,47.397971299999995,8.5461634,0.3630000054836273,-0.02200000174343586,0.0,-0.009999999776482582,-0.03999999910593033,-0.06313333660364151,-0.009734813123941422,-9.770886421203613,-0.0007859990582801402,0.0007183309062384069,-0.000720630690921098,,
1776222404.6252408,2026-04-15T03:06:44.625241,normal_triangle,02,47.397971299999995,8.5461634,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.03999999910593033,-0.06529386341571808,0.0014427469577640295,-9.771859169006348,0.00011979189730482176,6.332791963359341e-05,-0.0006825554301030934,,
1776222404.7292948,2026-04-15T03:06:44.729295,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.03999999910593033,-0.06594866514205933,-0.005547691136598587,-9.769957542419434,0.0005201821913942695,1.1069929314544424e-05,-7.581597310490906e-05,,
1776222404.8308058,2026-04-15T03:06:44.830806,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.06711772829294205,-0.0027100853621959686,-9.77016830444336,3.304341953480616e-05,-0.0004861613269895315,-0.00014216548879630864,,
1776222404.9675035,2026-04-15T03:06:44.967504,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.06875821202993393,-0.019755376502871513,-9.784126281738281,-0.0005496327066794038,0.0005844815750606358,-0.0010396213037893176,,
1776222405.0819159,2026-04-15T03:06:45.081916,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.06875821202993393,-0.019755376502871513,-9.784126281738281,-0.0005496327066794038,0.0005844815750606358,-0.0010396213037893176,,
1776222405.18681,2026-04-15T03:06:45.186810,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.06416041404008865,-0.0033275866881012917,-9.767258644104004,0.0002692554553505033,-0.0003542028716765344,-0.0005114474915899336,,
1776222405.2894735,2026-04-15T03:06:45.289474,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.06416041404008865,-0.0033275866881012917,-9.767258644104004,0.0002692554553505033,-0.0003542028716765344,-0.0005114474915899336,,
1776222405.394903,2026-04-15T03:06:45.394903,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.060610126703977585,-0.010931365191936493,-9.771425247192383,0.0010756895644590259,0.00035099199158139527,-0.000336211989633739,,
1776222405.4971304,2026-04-15T03:06:45.497130,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.06725320219993591,-0.0018782767001539469,-9.774063110351562,0.0003966502263210714,0.0003481391759123653,-0.001164934947155416,,
1776222405.6001587,2026-04-15T03:06:45.600159,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.06725320219993591,-0.0018782767001539469,-9.774063110351562,0.0003966502263210714,0.0003481391759123653,-0.001164934947155416,,
1776222405.7054179,2026-04-15T03:06:45.705418,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06439011543989182,-0.008031681180000305,-9.774168968200684,-0.00014117489627096802,0.0007643582648597658,-0.0009935235138982534,,
1776222405.8215919,2026-04-15T03:06:45.821592,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06439011543989182,-0.008031681180000305,-9.774168968200684,-0.00014117489627096802,0.0007643582648597658,-0.0009935235138982534,,
1776222405.924912,2026-04-15T03:06:45.924912,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06439011543989182,-0.008031681180000305,-9.774168968200684,-0.00014117489627096802,0.0007643582648597658,-0.0009935235138982534,,
1776222406.0264776,2026-04-15T03:06:46.026478,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06304243952035904,-0.010715290904045105,-9.77500057220459,-0.0002657680306583643,-0.00048433576012030244,0.00029802421340718865,,
1776222406.133382,2026-04-15T03:06:46.133382,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06304243952035904,-0.010715290904045105,-9.77500057220459,-0.0002657680306583643,-0.00048433576012030244,0.00029802421340718865,,
1776222406.2392383,2026-04-15T03:06:46.239238,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.06872241199016571,-0.004071485251188278,-9.774005889892578,0.00010206196748185903,0.0003286931023467332,0.0007012016139924526,,
1776222406.3421645,2026-04-15T03:06:46.342165,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.06872241199016571,-0.004071485251188278,-9.774005889892578,0.00010206196748185903,0.0003286931023467332,0.0007012016139924526,,
1776222406.4492846,2026-04-15T03:06:46.449285,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.070469930768013,-0.011205064132809639,-9.772198677062988,0.00044721789890900254,-0.0012378758983686566,-0.0006541582988575101,,
1776222406.5530353,2026-04-15T03:06:46.553035,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.06500262022018433,-0.006957341451197863,-9.778640747070312,0.00029362505301833153,0.00034827322815544903,-0.0007754443795420229,,
1776222406.6579285,2026-04-15T03:06:46.657928,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.06892883032560349,-0.008334910497069359,-9.776877403259277,0.00013050543202552944,0.000911657465621829,0.0008042822009883821,,
1776222406.7604482,2026-04-15T03:06:46.760448,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.061998091638088226,-0.0029662963934242725,-9.771854400634766,-0.0007527603302150965,4.6960474719526246e-05,0.0002367231936659664,,
1776222406.8633194,2026-04-15T03:06:46.863319,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.061998091638088226,-0.0029662963934242725,-9.771854400634766,-0.0007527603302150965,4.6960474719526246e-05,0.0002367231936659664,,
1776222406.9650261,2026-04-15T03:06:46.965026,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.07889261096715927,-0.012650193646550179,-9.774901390075684,0.00014227800420485437,-0.0004105753032490611,-0.00039480786654166877,,
1776222407.0660698,2026-04-15T03:06:47.066070,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.07889261096715927,-0.012650193646550179,-9.774901390075684,0.00014227800420485437,-0.0004105753032490611,-0.00039480786654166877,,
1776222407.1677291,2026-04-15T03:06:47.167729,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.020000001415610313,0.0,-0.019999999552965164,-0.04999999701976776,-0.07401635497808456,-0.017730941995978355,-9.768153190612793,-0.0007660036790184677,-0.0005077138775959611,0.0001882205397123471,,
1776222407.2704048,2026-04-15T03:06:47.270405,normal_triangle,02,47.397971299999995,8.5461633,0.36500000953674316,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06436357647180557,-0.009236030280590057,-9.772768020629883,0.0006532794795930386,-0.0001439695479348302,-1.1584426829358563e-05,,
1776222407.3719697,2026-04-15T03:06:47.371970,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06181444227695465,-0.010896055027842522,-9.768645286560059,-0.0006879738066345453,-8.253296982729807e-05,0.00011928522144444287,,
1776222407.476805,2026-04-15T03:06:47.476805,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06805053353309631,-0.009408063255250454,-9.773581504821777,1.0134974672837416e-06,0.0012968737864866853,0.0002628935326356441,,
1776222407.5838897,2026-04-15T03:06:47.583890,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.058568935841321945,-0.012137269601225853,-9.768095970153809,-0.000604101165663451,-0.0005256056901998818,-0.00046572560677304864,,
1776222407.68838,2026-04-15T03:06:47.688380,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06307163089513779,-0.0026148969773203135,-9.774494171142578,-0.0011424452532082796,-0.0005648449878208339,0.0008864833507686853,,
1776222407.7948372,2026-04-15T03:06:47.794837,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06307163089513779,-0.0026148969773203135,-9.774494171142578,-0.0011424452532082796,-0.0005648449878208339,0.0008864833507686853,,
1776222407.9010537,2026-04-15T03:06:47.901054,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06783434003591537,-0.00607325229793787,-9.773093223571777,0.001374972052872181,-0.0002548154443502426,1.977844294742681e-05,,
1776222408.0051458,2026-04-15T03:06:48.005146,normal_triangle,02,47.397971299999995,8.5461633,0.36400002241134644,-0.021000001579523087,0.0,-0.019999999552965164,-0.04999999701976776,-0.06783434003591537,-0.00607325229793787,-9.773093223571777,0.001374972052872181,-0.0002548154443502426,1.977844294742681e-05,,
1776222408.1085773,2026-04-15T03:06:48.108577,normal_triangle,02,47.397971299999995,8.5461633,0.3630000054836273,-0.02200000174343586,0.0,-0.019999999552965164,-0.04999999701976776,-0.05622505396604538,-0.010418405756354332,-9.77401065826416,-1.950558362295851e-05,-0.0004957889323122799,-0.0002061407285509631,,
